audio_resampled/Voice10.wav|हाम्रो देश स्वर्ग झैँ सुन्दर र चद्रमा झैँ चम्किलो छ।
audio_resampled/Voice1000.wav|चुँडाल्न सक्छ र विकासको अभियानमा देशले लामो फड्को मार्न सक्छ।
audio_resampled/Voice1001.wav|महंगा लुगा र घरको चीजहरू किन्नुहोस् - के लागि? यो सबै एक राम्रो सामाजिक खडा स्थापित गर्न को लागी।
audio_resampled/Voice1002.wav|त्यसैले आज भोलि म घरीघरी आफ्नो बाल्यकालको मीठो सम्झना गरेर मन बहलाउने गर्दछु।
audio_resampled/Voice1003.wav|बा-आमा दुवैले बडो आग्रह गरे र भने- बुहारी घरैमा हामीसँग बस्छे, तँ पढ्न जालास्‌ ।
audio_resampled/Voice1004.wav|घर वरिपरि खेतमा धानका हरियो बुटाबुटिहरु हावाको हलुको स्पर्श पाएर मेरो आगमनको खुसीयालीमा छमछमती नाचिरहेको थिए।
audio_resampled/Voice1005.wav|हाम्रो गाउँको पूर्वपट्टिको सिमाना पनि यही नदी हो ।
audio_resampled/Voice1006.wav|यसले गाउँलाई तडका (बिजली) को डर हुँदैन- सान्नानीले मलाई बताई ।
audio_resampled/Voice1007.wav|पहिले-पहिलेको जस्तो भावनाले विभोर भएर होइन, एकदम अनुद्विग्न भएर; मानौं घरको दृश्य त्यो हेरिरहेको छ, तस्वीरहरूमा ।
audio_resampled/Voice1008.wav|हाम्रो देश नेपालमा दश % व्यापारीले पनि राम्ररी कर तिर्दैनन् र यसको परिणाम पनि हामीले नै भोग्ने गर्छौ।
audio_resampled/Voice1009.wav|अर्को दिन जाउँला त्यता..." चिलौनी धारबाट घर फर्किंदा मडरको पोखरी हेर्न गयौं ।
audio_resampled/Voice1010.wav|आँगनमा खेल्दा खेल्दै म गाउँका आफ्नै उमेरका साथीहरूसँग घुलमिल हुन थालेँ र मेरो क्रिडीस्थल फराकिलो हुँदै गयो।
audio_resampled/Voice1011.wav|उसको दुर्दमनीयतामा लज्जा र सङ्कोचले कुनै ठाउँ पाएको थिएन ।
audio_resampled/Voice1012.wav|आमा भन्नुहुन्छ- हट्न, के टाँस्सिरहेको ? जा बाहिर गएर खेल्‌ ।
audio_resampled/Voice1013.wav|मकवानपुरे राजाका सहयोगमा आएका विहारका नबाब मीर कासिमलाई मकवानपुरकै घुँडा टेकाइदिए।
audio_resampled/Voice1014.wav|उसको पानीसँग खेलिरहेको गोडा थामिएका थिए ।
audio_resampled/Voice1015.wav|राधा कत्रो भरोसा लिएर आइरहेकी थिई त्यस साँझमा ।
audio_resampled/Voice11.wav|ढोकाको डन्डीको छाया एउटा भुइँमा सोझो, अर्को भित्तामा च्याप्टो र बाङ्गिएको परिरहेको थियो ।
audio_resampled/Voice12.wav|घरघरमा बत्ती निभेका छन्‌ ।
audio_resampled/Voice13.wav|यो सारा नेपालीहरूले आफ्ना मनमा लागेका कुराहरू अरूलाई बताउने माध्यम भाषाका रूपमा पनि रहेको छ।
audio_resampled/Voice14.wav|प्रारम्भमा ग्रामीण जीवनको बाटोमा तै-तै गरेर पाइलो चाल्ने प्रयत्न गर्दा सान्नानीको सहारा नभई हुँदैनथ्यो।
audio_resampled/Voice15.wav|लागि सञ्चारका माध्यमले अहम् भूमिका खेलेको छ, पत्रपत्रिकाको अभावमा व्यक्ति तथा राष्ट्रले राजनीति, खेलकुद, कृषि र अन्य कुराहरू थाहा पाउन सक्दैन ।
audio_resampled/Voice16.wav|जस्तै –हाम्रो सहर हेटौँडा ।
audio_resampled/Voice17.wav|पहिले जो आमाजस्ती भएर मेरो औंलालाई सहारा दिँदै गाउँका आवश्यक वस्तुहरूलाई चिह्नाउँदै हिंड्थी, त्यो पछि-पछि सहचरी भएर गई ।
audio_resampled/Voice18.wav|किशोरले कोठामा एकचोटि दृष्टिपात गर्‍यो ।
audio_resampled/Voice19.wav|यस प्रविधिको युगमा पुस्तकालय विद्या प्राप्त गर्नकालागि एक सजिलो मार्फत हो।
audio_resampled/Voice20.wav|हामी रिस,राग,कपट र छल कहिले गर्दैनौ।
audio_resampled/Voice2001.wav|मेरो नाम श्रुति हो र म आज एउटा कथा सुनाउछु।
audio_resampled/Voice2002.wav|कथाको शिर्षक हो 'सर्कसको हात्ती'।
audio_resampled/Voice2003.wav|पोखरा कसरी पुग्ने होला।
audio_resampled/Voice2004.wav|आज मौसम बडो रमाइलो छ।
audio_resampled/Voice2011.wav|सबैको घरघरमा नेपाल समाचारपत्र आउथ्यौँ।
audio_resampled/Voice2013.wav|कलेज सकिएपछी उनिहरु पहिलोपल्ट भेट्न लागिरहेका थिए।
audio_resampled/Voice2014.wav|कस्तो होला त्यो भेट भन्ने प्रश्न सबैको मनमस्तिश्कमा थियो।
audio_resampled/Voice2020.wav|सबैले उनिहरुको ताली पिटेर स्वागत गरे।
audio_resampled/Voice2021.wav|बाकी सबैजना पनि बिस्तारै बिस्तारै आउँदै गरे।
audio_resampled/Voice21.wav|आगामी दिनमा बलिस्टिक क्षेप्यास्त्रसहित थप अस्त्रहरू प्राप्त गर्नका लागि प्रयास गरिरहेको छौँ ।
audio_resampled/Voice22.wav|निष्पट्ट शान्ति छ शहरमा; झन्‌ जाडोले शान्तिलाई जम्मोठजस्तो डल्लो पारेर अडाइदिएको छ ।
audio_resampled/Voice23.wav|पुस्तकालय आज सबै मानिसले पढ्ने गर्छन।
audio_resampled/Voice24.wav|यो हाम्रो स्वास्थकोलागि एकदमै खतरनाक बस्तु हो।
audio_resampled/Voice25.wav|दूध खान मन लाग्दा म आमासँग माग्थे तर छोएर खन्नथे।
audio_resampled/Voice26.wav|बनारसमा म जन्मेँ, त्यहीं हुर्के ।
audio_resampled/Voice27.wav|यस दिन गाई र धनको पूजा गर्ने गरिन्छ।
audio_resampled/Voice28.wav|त्यो दिन उहाँ दिशाको आविष्कार गरे र त्यसैले हामीले आज दिशा हेर्न सफल भएका छौ।
